Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Hispanic,18.5,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,12.5,24.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,37.3,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,33.2,41.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,14.5,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,9.5,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,16.8,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,5.7,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,11.1,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Hispanic,13.7,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,2.1,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,10.9,"Miami (Miami-Dade County), FL",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,21.1,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,9.7,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,20.3,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,17.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,12.0,23.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,20.7,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,12.2,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,22.6,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Hispanic,10.2,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,11.3,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,13.3,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2010 NC BRFSS (Mecklenburg Sample),,,,,8.7,17.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,1.7,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2010 NC BRFSS (Mecklenburg Sample),,,,,0.0,3.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,17.4,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2010 NC BRFSS (Mecklenburg Sample),,,,,11.9,22.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,7.9,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2010 NC BRFSS (Mecklenburg Sample),,,,,4.4,11.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,32.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,27.0,38.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,18.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,27.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,23.0,32.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,35.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,23.0,49.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,21.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,15.0,27.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,25.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,21.0,28.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,18.8,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2011 NC BRFSS (Mecklenburg Sample),,,,,14.8,22.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,11.3,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2011 NC BRFSS (Mecklenburg Sample),,,,,5.2,17.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,25.1,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2011 NC BRFSS (Mecklenburg Sample),,,,,19.1,31.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,11.9,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2011 NC BRFSS (Mecklenburg Sample),,,,,7.4,16.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,23.6,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2011 NC BRFSS (Mecklenburg Sample),,,,,17.3,29.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,33.3,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,17.9,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,25.0,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,32.5,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,21.4,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,28.0,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,38.5,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,29.6,47.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,28.4,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,22.9,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,16.7,29.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,22.8,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,36.5,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,30.0,42.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,21.3,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,11.1,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,32.2,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,22.2,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,20.3,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,29.0,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,18.6,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Other,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,16.3,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,9.1,23.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,11.8,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,4.9,18.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,20.5,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,11.1,29.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,33.2,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,38.6,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,20.3,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,38.1,"Chicago, Il",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Behavioral Risk Factor Surveillance System,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,16.0,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,10.3,21.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,14.1,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,3.7,24.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,31.4,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Other,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,31.5,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,16.1,47.0
